"","X","lng","lat","order","piece","id","group","Quantity","Year","From","To"
"199",199,4,50.833333,1,1,10,10.1,191012,2013,"Belgium","Germany"
"200",200,4.3049527538552,50.8731807926651,2,1,10,10.1,191012,2013,"Belgium","Germany"
"201",201,4.61042218238192,50.9122326844885,3,1,10,10.1,191012,2013,"Belgium","Germany"
"202",202,4.91639940185919,50.9504862287748,4,1,10,10.1,191012,2013,"Belgium","Germany"
"203",203,5.22287540711371,50.9879390194321,5,1,10,10.1,191012,2013,"Belgium","Germany"
"204",204,5.5298410729541,51.024588691663,6,1,10,10.1,191012,2013,"Belgium","Germany"
"205",205,5.83728715567108,51.0604329226489,7,1,10,10.1,191012,2013,"Belgium","Germany"
"206",206,6.14520429460349,51.0954694322261,8,1,10,10.1,191012,2013,"Belgium","Germany"
"207",207,6.45358301376975,51.1296959835544,9,1,10,10.1,191012,2013,"Belgium","Germany"
"208",208,6.76241372356466,51.1631103837764,10,1,10,10.1,191012,2013,"Belgium","Germany"
"209",209,7.0716867225208,51.1957104846689,11,1,10,10.1,191012,2013,"Belgium","Germany"
"210",210,7.38139219913442,51.2274941832837,12,1,10,10.1,191012,2013,"Belgium","Germany"
"211",211,7.69152023375503,51.25845942258,13,1,10,10.1,191012,2013,"Belgium","Germany"
"212",212,8.00206080053825,51.2886041920453,14,1,10,10.1,191012,2013,"Belgium","Germany"
"213",213,8.31300376946118,51.3179265283065,15,1,10,10.1,191012,2013,"Belgium","Germany"
"214",214,8.62433890839959,51.3464245157295,16,1,10,10.1,191012,2013,"Belgium","Germany"
"215",215,8.93605588526623,51.3740962870078,17,1,10,10.1,191012,2013,"Belgium","Germany"
"216",216,9.24814427020921,51.4009400237386,18,1,10,10.1,191012,2013,"Belgium","Germany"
"217",217,9.56059353786972,51.4269539569871,19,1,10,10.1,191012,2013,"Belgium","Germany"
"218",218,9.87339306969803,51.452136367838,20,1,10,10.1,191012,2013,"Belgium","Germany"
"219",219,10.1865321563267,51.4764855879338,21,1,10,10.1,191012,2013,"Belgium","Germany"
"220",220,10.5,51.5,22,1,10,10.1,191012,2013,"Belgium","Germany"
"243",243,4,50.833333,1,1,12,12.1,691438,2013,"Belgium","Netherlands"
"244",244,4.08046429255743,50.9132759435261,2,1,12,12.1,691438,2013,"Belgium","Netherlands"
"245",245,4.16120538989015,50.993163395462,3,1,12,12.1,691438,2013,"Belgium","Netherlands"
"246",246,4.2422248439465,51.0729950057878,4,1,12,12.1,691438,2013,"Belgium","Netherlands"
"247",247,4.32352421599378,51.1527704218772,5,1,12,12.1,691438,2013,"Belgium","Netherlands"
"248",248,4.40510507666706,51.2324892884754,6,1,12,12.1,691438,2013,"Belgium","Netherlands"
"249",249,4.48696900601791,51.3121512476775,7,1,12,12.1,691438,2013,"Belgium","Netherlands"
"250",250,4.56911759356305,51.3917559389059,8,1,12,12.1,691438,2013,"Belgium","Netherlands"
"251",251,4.65155243833294,51.4713029988884,9,1,12,12.1,691438,2013,"Belgium","Netherlands"
"252",252,4.73427514892024,51.5507920616353,10,1,12,12.1,691438,2013,"Belgium","Netherlands"
"253",253,4.81728734352818,51.6302227584168,11,1,12,12.1,691438,2013,"Belgium","Netherlands"
"254",254,4.90059065001879,51.7095947177401,12,1,12,12.1,691438,2013,"Belgium","Netherlands"
"255",255,4.98418670596103,51.7889075653263,13,1,12,12.1,691438,2013,"Belgium","Netherlands"
"256",256,5.06807715867872,51.8681609240871,14,1,12,12.1,691438,2013,"Belgium","Netherlands"
"257",257,5.15226366529836,51.9473544141013,15,1,12,12.1,691438,2013,"Belgium","Netherlands"
"258",258,5.23674789279679,52.0264876525914,16,1,12,12.1,691438,2013,"Belgium","Netherlands"
"259",259,5.3215315180486,52.1055602538992,17,1,12,12.1,691438,2013,"Belgium","Netherlands"
"260",260,5.40661622787342,52.1845718294622,18,1,12,12.1,691438,2013,"Belgium","Netherlands"
"261",261,5.49200371908297,52.2635219877894,19,1,12,12.1,691438,2013,"Belgium","Netherlands"
"262",262,5.57769569852787,52.3424103344364,20,1,12,12.1,691438,2013,"Belgium","Netherlands"
"263",263,5.66369388314423,52.4212364719815,21,1,12,12.1,691438,2013,"Belgium","Netherlands"
"264",264,5.75,52.5,22,1,12,12.1,691438,2013,"Belgium","Netherlands"
"771",771,15,49.75,1,1,36,36.1,106798,2013,"Czech Republic","Slovakia"
"772",772,15.2187029177495,49.7024257438642,2,1,36,36.1,106798,2013,"Czech Republic","Slovakia"
"773",773,15.4369761132756,49.6544405022912,3,1,36,36.1,106798,2013,"Czech Republic","Slovakia"
"774",774,15.6548174852175,49.6060457813005,4,1,36,36.1,106798,2013,"Czech Republic","Slovakia"
"775",775,15.8722249787726,49.5572430925983,5,1,36,36.1,106798,2013,"Czech Republic","Slovakia"
"776",776,16.0891965855509,49.5080339533915,6,1,36,36.1,106798,2013,"Czech Republic","Slovakia"
"777",777,16.3057303434184,49.4584198862027,7,1,36,36.1,106798,2013,"Czech Republic","Slovakia"
"778",778,16.5218243363333,49.4084024186873,8,1,36,36.1,106798,2013,"Czech Republic","Slovakia"
"779",779,16.7374766941725,49.3579830834499,9,1,36,36.1,106798,2013,"Czech Republic","Slovakia"
"780",780,16.9526855925503,49.3071634178639,10,1,36,36.1,106798,2013,"Czech Republic","Slovakia"
"781",781,17.1674492526291,49.2559449638907,11,1,36,36.1,106798,2013,"Czech Republic","Slovakia"
"782",782,17.3817659409211,49.2043292679013,12,1,36,36.1,106798,2013,"Czech Republic","Slovakia"
"783",783,17.5956339690836,49.1523178804986,13,1,36,36.1,106798,2013,"Czech Republic","Slovakia"
"784",784,17.8090516937051,49.0999123563408,14,1,36,36.1,106798,2013,"Czech Republic","Slovakia"
"785",785,18.0220175160853,49.0471142539671,15,1,36,36.1,106798,2013,"Czech Republic","Slovakia"
"786",786,18.2345298820071,48.9939251356235,16,1,36,36.1,106798,2013,"Czech Republic","Slovakia"
"787",787,18.4465872815014,48.9403465670911,17,1,36,36.1,106798,2013,"Czech Republic","Slovakia"
"788",788,18.6581882486057,48.8863801175154,18,1,36,36.1,106798,2013,"Czech Republic","Slovakia"
"789",789,18.8693313611154,48.8320273592368,19,1,36,36.1,106798,2013,"Czech Republic","Slovakia"
"790",790,19.0800152403288,48.7772898676229,20,1,36,36.1,106798,2013,"Czech Republic","Slovakia"
"791",791,19.2902385507856,48.7221692209024,21,1,36,36.1,106798,2013,"Czech Republic","Slovakia"
"792",792,19.5,48.666667,22,1,36,36.1,106798,2013,"Czech Republic","Slovakia"
"903",903,10,56,1,1,42,42.1,216287,2013,"Denmark","Czech Republic"
"904",904,10.273366471697,55.7075148260919,2,1,42,42.1,216287,2013,"Denmark","Czech Republic"
"905",905,10.5426666341889,55.414431567334,3,1,42,42.1,216287,2013,"Denmark","Czech Republic"
"906",906,10.807996413148,55.1207655081487,4,1,42,42.1,216287,2013,"Denmark","Czech Republic"
"907",907,11.0694490877995,54.8265314547978,5,1,42,42.1,216287,2013,"Denmark","Czech Republic"
"908",908,11.3271153692902,54.5317437527971,6,1,42,42.1,216287,2013,"Denmark","Czech Republic"
"909",909,11.5810834770399,54.2364163036409,7,1,42,42.1,216287,2013,"Denmark","Czech Republic"
"910",910,11.8314392130802,53.9405625808649,8,1,42,42.1,216287,2013,"Denmark","Czech Republic"
"911",911,12.078266034392,53.6441956454752,9,1,42,42.1,216287,2013,"Denmark","Czech Republic"
"912",912,12.3216451232575,53.3473281607668,10,1,42,42.1,216287,2013,"Denmark","Czech Republic"
"913",913,12.561655455648,53.0499724065585,11,1,42,42.1,216287,2013,"Denmark","Czech Republic"
"914",914,12.7983738676732,52.7521402928671,12,1,42,42.1,216287,2013,"Denmark","Czech Republic"
"915",915,13.0318751201206,52.453843373043,13,1,42,42.1,216287,2013,"Denmark","Czech Republic"
"916",916,13.2622319611161,52.1550928563914,14,1,42,42.1,216287,2013,"Denmark","Czech Republic"
"917",917,13.4895151869403,51.8558996202982,15,1,42,42.1,216287,2013,"Denmark","Czech Republic"
"918",918,13.7137937010373,51.5562742218823,16,1,42,42.1,216287,2013,"Denmark","Czech Republic"
"919",919,13.9351345712524,51.2562269091928,17,1,42,42.1,216287,2013,"Denmark","Czech Republic"
"920",920,14.1536030853387,50.9557676319711,18,1,42,42.1,216287,2013,"Denmark","Czech Republic"
"921",921,14.3692628047725,50.6549060519947,19,1,42,42.1,216287,2013,"Denmark","Czech Republic"
"922",922,14.5821756169177,50.3536515530211,20,1,42,42.1,216287,2013,"Denmark","Czech Republic"
"923",923,14.7924017855813,50.0520132503469,21,1,42,42.1,216287,2013,"Denmark","Czech Republic"
"924",924,15,49.75,22,1,42,42.1,216287,2013,"Denmark","Czech Republic"
"991",991,10,56,1,1,46,46.1,6657843,2013,"Denmark","Germany"
"992",992,10.0263865608527,55.785764178344,2,1,46,46.1,6657843,2013,"Denmark","Germany"
"993",993,10.0524845038359,55.5715227681217,3,1,46,46.1,6657843,2013,"Denmark","Germany"
"994",994,10.0782992492469,55.3572758744292,4,1,46,46.1,6657843,2013,"Denmark","Germany"
"995",995,10.1038360850993,55.143023599793,5,1,46,46.1,6657843,2013,"Denmark","Germany"
"996",996,10.1291001711509,54.9287660442491,6,1,46,46.1,6657843,2013,"Denmark","Germany"
"997",997,10.1540965427853,54.7145033054176,7,1,46,46.1,6657843,2013,"Denmark","Germany"
"998",998,10.1788301147537,54.5002354785762,8,1,46,46.1,6657843,2013,"Denmark","Germany"
"999",999,10.2033056847825,54.2859626567304,9,1,46,46.1,6657843,2013,"Denmark","Germany"
"1000",1000,10.2275279370533,54.0716849306807,10,1,46,46.1,6657843,2013,"Denmark","Germany"
"1001",1001,10.2515014455589,53.8574023890883,11,1,46,46.1,6657843,2013,"Denmark","Germany"
"1002",1002,10.275230677342,53.6431151185381,12,1,46,46.1,6657843,2013,"Denmark","Germany"
"1003",1003,10.29871999562,53.4288232035992,13,1,46,46.1,6657843,2013,"Denmark","Germany"
"1004",1004,10.3219736628016,53.2145267268839,14,1,46,46.1,6657843,2013,"Denmark","Germany"
"1005",1005,10.344995843399,53.0002257691042,15,1,46,46.1,6657843,2013,"Denmark","Germany"
"1006",1006,10.3677906068401,52.7859204091262,16,1,46,46.1,6657843,2013,"Denmark","Germany"
"1007",1007,10.3903619301842,52.5716107240236,17,1,46,46.1,6657843,2013,"Denmark","Germany"
"1008",1008,10.412713700746,52.357296789128,18,1,46,46.1,6657843,2013,"Denmark","Germany"
"1009",1009,10.4348497186304,52.1429786780785,19,1,46,46.1,6657843,2013,"Denmark","Germany"
"1010",1010,10.4567736991826,51.9286564628694,20,1,46,46.1,6657843,2013,"Denmark","Germany"
"1011",1011,10.4784892753556,51.7143302138963,21,1,46,46.1,6657843,2013,"Denmark","Germany"
"1012",1012,10.5,51.5,22,1,46,46.1,6657843,2013,"Denmark","Germany"
"1079",1079,10,56,1,1,50,50.1,287564,2013,"Denmark","Italy"
"1080",1080,10.1756275430983,55.3748293144077,2,1,50,50.1,287564,2013,"Denmark","Italy"
"1081",1081,10.3457896593172,54.7494147470809,3,1,50,50.1,287564,2013,"Denmark","Italy"
"1082",1082,10.5107743455237,54.1237692369113,4,1,50,50.1,287564,2013,"Denmark","Italy"
"1083",1083,10.6708502258826,53.4979048447899,5,1,50,50.1,287564,2013,"Denmark","Italy"
"1084",1084,10.8262681529963,52.8718328269265,6,1,50,50.1,287564,2013,"Denmark","Italy"
"1085",1085,10.9772626540797,52.2455637009858,7,1,50,50.1,287564,2013,"Denmark","Italy"
"1086",1086,11.1240532392803,51.6191073058446,8,1,50,50.1,287564,2013,"Denmark","Italy"
"1087",1087,11.2668455871439,50.9924728556753,9,1,50,50.1,287564,2013,"Denmark","Italy"
"1088",1088,11.4058326204007,50.3656689889697,10,1,50,50.1,287564,2013,"Denmark","Italy"
"1089",1089,11.5411954836674,49.7387038130464,11,1,50,50.1,287564,2013,"Denmark","Italy"
"1090",1090,11.6731044332896,49.1115849445178,12,1,50,50.1,287564,2013,"Denmark","Italy"
"1091",1091,11.8017196483545,48.4843195461366,13,1,50,50.1,287564,2013,"Denmark","Italy"
"1092",1092,11.9271919708678,47.8569143603935,14,1,50,50.1,287564,2013,"Denmark","Italy"
"1093",1093,12.0496635821774,47.2293757401942,15,1,50,50.1,287564,2013,"Denmark","Italy"
"1094",1094,12.1692686219349,46.6017096769072,16,1,50,50.1,287564,2013,"Denmark","Italy"
"1095",1095,12.2861337551902,45.9739218260409,17,1,50,50.1,287564,2013,"Denmark","Italy"
"1096",1096,12.4003786926037,45.3460175307797,18,1,50,50.1,287564,2013,"Denmark","Italy"
"1097",1097,12.5121166682217,44.718001843585,19,1,50,50.1,287564,2013,"Denmark","Italy"
"1098",1098,12.6214548787907,44.0898795460432,20,1,50,50.1,287564,2013,"Denmark","Italy"
"1099",1099,12.7284948881655,43.4616551671248,21,1,50,50.1,287564,2013,"Denmark","Italy"
"1100",1100,12.833333,42.833333,22,1,50,50.1,287564,2013,"Denmark","Italy"
"1145",1145,10,56,1,1,53,53.1,120432,2013,"Denmark","Netherlands"
"1146",1146,9.78060071961503,55.8368757825988,2,1,53,53.1,120432,2013,"Denmark","Netherlands"
"1147",1147,9.56303672774661,55.6733644608645,3,1,53,53.1,120432,2013,"Denmark","Netherlands"
"1148",1148,9.34728582628119,55.5094716146993,4,1,53,53.1,120432,2013,"Denmark","Netherlands"
"1149",1149,9.13332607126834,55.3452027318272,5,1,53,53.1,120432,2013,"Denmark","Netherlands"
"1150",1150,8.92113577206953,55.1805632093688,6,1,53,53.1,120432,2013,"Denmark","Netherlands"
"1151",1151,8.71069349037947,55.0155583553958,7,1,53,53.1,120432,2013,"Denmark","Netherlands"
"1152",1152,8.50197803912785,54.8501933904633,8,1,53,53.1,120432,2013,"Denmark","Netherlands"
"1153",1153,8.29496848126943,54.6844734491211,9,1,53,53.1,120432,2013,"Denmark","Netherlands"
"1154",1154,8.08964412846946,54.5184035814032,10,1,53,53.1,120432,2013,"Denmark","Netherlands"
"1155",1155,7.88598453969179,54.3519887542961,11,1,53,53.1,120432,2013,"Denmark","Netherlands"
"1156",1156,7.68396951969605,54.1852338531853,12,1,53,53.1,120432,2013,"Denmark","Netherlands"
"1157",1157,7.48357911745044,54.0181436832799,13,1,53,53.1,120432,2013,"Denmark","Netherlands"
"1158",1158,7.28479362446616,53.8507229710161,14,1,53,53.1,120432,2013,"Denmark","Netherlands"
"1159",1159,7.08759357305925,53.6829763654393,15,1,53,53.1,120432,2013,"Denmark","Netherlands"
"1160",1160,6.89195973454543,53.514908439564,16,1,53,53.1,120432,2013,"Denmark","Netherlands"
"1161",1161,6.69787311737302,53.3465236917133,17,1,53,53.1,120432,2013,"Denmark","Netherlands"
"1162",1162,6.50531496519924,53.1778265468364,18,1,53,53.1,120432,2013,"Denmark","Netherlands"
"1163",1163,6.31426675491428,53.0088213578056,19,1,53,53.1,120432,2013,"Denmark","Netherlands"
"1164",1164,6.12471019461796,52.8395124066917,20,1,53,53.1,120432,2013,"Denmark","Netherlands"
"1165",1165,5.93662722155316,52.6699039060191,21,1,53,53.1,120432,2013,"Denmark","Netherlands"
"1166",1166,5.75,52.5,22,1,53,53.1,120432,2013,"Denmark","Netherlands"
"1167",1167,10,56,1,1,54,54.1,2833320,2013,"Denmark","Poland"
"1168",1168,10.520663380567,55.8293004462768,2,1,54,54.1,2833320,2013,"Denmark","Poland"
"1169",1169,11.0367478019739,55.6564214933391,3,1,54,54.1,2833320,2013,"Denmark","Poland"
"1170",1170,11.5482662210198,55.4813963293257,4,1,54,54.1,2833320,2013,"Denmark","Poland"
"1171",1171,12.0552336474572,55.3042578836543,5,1,54,54.1,2833320,2013,"Denmark","Poland"
"1172",1172,12.5576670474947,55.1250388134452,6,1,54,54.1,2833320,2013,"Denmark","Poland"
"1173",1173,13.0555852487716,54.9437714909087,7,1,54,54.1,2833320,2013,"Denmark","Poland"
"1174",1174,13.5490088469578,54.7604879916667,8,1,54,54.1,2833320,2013,"Denmark","Poland"
"1175",1175,14.0379601141163,54.575220083984,9,1,54,54.1,2833320,2013,"Denmark","Poland"
"1176",1176,14.5224629089496,54.3879992188761,10,1,54,54.1,2833320,2013,"Denmark","Poland"
"1177",1177,15.0025425890357,54.1988565210681,11,1,54,54.1,2833320,2013,"Denmark","Poland"
"1178",1178,15.4782259251466,54.0078227807717,12,1,54,54.1,2833320,2013,"Denmark","Poland"
"1179",1179,15.9495410177281,53.8149284462507,13,1,54,54.1,2833320,2013,"Denmark","Poland"
"1180",1180,16.4165172156045,53.6202036171463,14,1,54,54.1,2833320,2013,"Denmark","Poland"
"1181",1181,16.8791850369647,53.4236780385277,15,1,54,54.1,2833320,2013,"Denmark","Poland"
"1182",1182,17.3375760926697,53.2253810956426,16,1,54,54.1,2833320,2013,"Denmark","Poland"
"1183",1183,17.7917230119147,53.0253418093319,17,1,54,54.1,2833320,2013,"Denmark","Poland"
"1184",1184,18.2416593702671,52.8235888320834,18,1,54,54.1,2833320,2013,"Denmark","Poland"
"1185",1185,18.6874196200929,52.6201504446913,19,1,54,54.1,2833320,2013,"Denmark","Poland"
"1186",1186,19.1290390233773,52.4150545534939,20,1,54,54.1,2833320,2013,"Denmark","Poland"
"1187",1187,19.5665535869351,52.2083286881607,21,1,54,54.1,2833320,2013,"Denmark","Poland"
"1188",1188,20,52,22,1,54,54.1,2833320,2013,"Denmark","Poland"
"1497",1497,26,59,1,1,69,69.1,108131,2013,"Estonia","Lithuania"
"1498",1498,25.8969896824987,58.8578905356162,2,1,69,69.1,108131,2013,"Estonia","Lithuania"
"1499",1499,25.7948218185027,58.715699766397,3,1,69,69.1,108131,2013,"Estonia","Lithuania"
"1500",1500,25.6934853416224,58.5734288059087,4,1,69,69.1,108131,2013,"Estonia","Lithuania"
"1501",1501,25.5929693671673,58.4310787483241,5,1,69,69.1,108131,2013,"Estonia","Lithuania"
"1502",1502,25.4932631886253,58.2886506688309,6,1,69,69.1,108131,2013,"Estonia","Lithuania"
"1503",1503,25.3943562742168,58.1461456240294,7,1,69,69.1,108131,2013,"Estonia","Lithuania"
"1504",1504,25.296238263523,58.0035646523206,8,1,69,69.1,108131,2013,"Estonia","Lithuania"
"1505",1505,25.1988989641866,57.8609087742856,9,1,69,69.1,108131,2013,"Estonia","Lithuania"
"1506",1506,25.1023283486822,57.7181789930553,10,1,69,69.1,108131,2013,"Estonia","Lithuania"
"1507",1507,25.0065165511576,57.5753762946715,11,1,69,69.1,108131,2013,"Estonia","Lithuania"
"1508",1508,24.9114538643401,57.4325016484393,12,1,69,69.1,108131,2013,"Estonia","Lithuania"
"1509",1509,24.8171307365114,57.2895560072713,13,1,69,69.1,108131,2013,"Estonia","Lithuania"
"1510",1510,24.7235377685448,57.1465403080235,14,1,69,69.1,108131,2013,"Estonia","Lithuania"
"1511",1511,24.6306657110069,57.0034554718233,15,1,69,69.1,108131,2013,"Estonia","Lithuania"
"1512",1512,24.5385054613201,56.8603024043897,16,1,69,69.1,108131,2013,"Estonia","Lithuania"
"1513",1513,24.447048060986,56.7170819963463,17,1,69,69.1,108131,2013,"Estonia","Lithuania"
"1514",1514,24.3562846928669,56.5737951235263,18,1,69,69.1,108131,2013,"Estonia","Lithuania"
"1515",1515,24.2662066785258,56.430442647271,19,1,69,69.1,108131,2013,"Estonia","Lithuania"
"1516",1516,24.1768054756218,56.2870254147214,20,1,69,69.1,108131,2013,"Estonia","Lithuania"
"1517",1517,24.0880726753607,56.1435442591021,21,1,69,69.1,108131,2013,"Estonia","Lithuania"
"1518",1518,24,56,22,1,69,69.1,108131,2013,"Estonia","Lithuania"
"1629",1629,2,46,1,1,75,75.1,343099,2013,"France","Belgium"
"1630",1630,2.08704645097816,46.2309023743706,2,1,75,75.1,343099,2013,"France","Belgium"
"1631",1631,2.17482830077868,46.4617381290917,3,1,75,75.1,343099,2013,"France","Belgium"
"1632",1632,2.26335757590727,46.6925061549771,4,1,75,75.1,343099,2013,"France","Belgium"
"1633",1633,2.35264654658801,46.9232053197692,5,1,75,75.1,343099,2013,"France","Belgium"
"1634",1634,2.44270773296071,47.1538344675325,6,1,75,75.1,343099,2013,"France","Belgium"
"1635",1635,2.53355391146213,47.3843924180293,7,1,75,75.1,343099,2013,"France","Belgium"
"1636",1636,2.62519812139763,47.6148779660752,8,1,75,75.1,343099,2013,"France","Belgium"
"1637",1637,2.71765367170942,47.845289880875,9,1,75,75.1,343099,2013,"France","Belgium"
"1638",1638,2.81093414794834,48.075626905337,10,1,75,75.1,343099,2013,"France","Belgium"
"1639",1639,2.90505341945592,48.3058877553666,11,1,75,75.1,343099,2013,"France","Belgium"
"1640",1640,3.00002564676418,48.5360711191368,12,1,75,75.1,343099,2013,"France","Belgium"
"1641",1641,3.09586528922039,48.7661756563359,13,1,75,75.1,343099,2013,"France","Belgium"
"1642",1642,3.19258711284483,48.9961999973904,14,1,75,75.1,343099,2013,"France","Belgium"
"1643",1643,3.29020619842945,49.2261427426641,15,1,75,75.1,343099,2013,"France","Belgium"
"1644",1644,3.38873794988583,49.4560024616302,16,1,75,75.1,343099,2013,"France","Belgium"
"1645",1645,3.48819810285124,49.6857776920171,17,1,75,75.1,343099,2013,"France","Belgium"
"1646",1646,3.58860273356171,49.9154669389263,18,1,75,75.1,343099,2013,"France","Belgium"
"1647",1647,3.68996826800156,50.145068673921,19,1,75,75.1,343099,2013,"France","Belgium"
"1648",1648,3.79231149133916,50.3745813340857,20,1,75,75.1,343099,2013,"France","Belgium"
"1649",1649,3.89564955765888,50.604003321053,21,1,75,75.1,343099,2013,"France","Belgium"
"1650",1650,4,50.833333,22,1,75,75.1,343099,2013,"France","Belgium"
"1739",1739,2,46,1,1,80,80.1,161635,2013,"France","Germany"
"1740",1740,2.3643436342833,46.2752062669554,2,1,80,80.1,161635,2013,"France","Germany"
"1741",1741,2.73235733520483,46.5492435856255,3,1,80,80.1,161635,2013,"France","Germany"
"1742",1742,3.10409775531715,46.8220887868449,4,1,80,80.1,161635,2013,"France","Germany"
"1743",1743,3.47962208494397,47.0937182232127,5,1,80,80.1,161635,2013,"France","Germany"
"1744",1744,3.85898803368354,47.3641077603522,6,1,80,80.1,161635,2013,"France","Germany"
"1745",1745,4.24225380994493,47.6332327681815,7,1,80,80.1,161635,2013,"France","Germany"
"1746",1746,4.62947809840688,47.9010681122076,8,1,80,80.1,161635,2013,"France","Germany"
"1747",1747,5.02072003528427,48.1675881448634,9,1,80,80.1,161635,2013,"France","Germany"
"1748",1748,5.41603918128373,48.4327666969048,10,1,80,80.1,161635,2013,"France","Germany"
"1749",1749,5.81549549212623,48.6965770688872,11,1,80,80.1,161635,2013,"France","Germany"
"1750",1750,6.21914928651047,48.9589920227434,12,1,80,80.1,161635,2013,"France","Germany"
"1751",1751,6.62706121138755,49.2199837734851,13,1,80,80.1,161635,2013,"France","Germany"
"1752",1752,7.0392922044141,49.4795239810525,14,1,80,80.1,161635,2013,"France","Germany"
"1753",1753,7.45590345344787,49.7375837423373,15,1,80,80.1,161635,2013,"France","Germany"
"1754",1754,7.87695635294675,49.9941335834085,16,1,80,80.1,161635,2013,"France","Germany"
"1755",1755,8.30251245713002,50.2491434519691,17,1,80,80.1,161635,2013,"France","Germany"
"1756",1756,8.73263342975805,50.5025827100757,18,1,80,80.1,161635,2013,"France","Germany"
"1757",1757,9.16738099038529,50.7544201271549,19,1,80,80.1,161635,2013,"France","Germany"
"1758",1758,9.60681685693994,51.0046238733525,20,1,80,80.1,161635,2013,"France","Germany"
"1759",1759,10.0510026844831,51.2531615132513,21,1,80,80.1,161635,2013,"France","Germany"
"1760",1760,10.5,51.5,22,1,80,80.1,161635,2013,"France","Germany"
"2113",2113,10.5,51.5,1,1,97,97.1,597383,2013,"Germany","Austria"
"2114",2114,10.6463518943273,51.3032326575318,2,1,97,97.1,597383,2013,"Germany","Austria"
"2115",2115,10.7914537122578,51.1062844640216,3,1,97,97.1,597383,2013,"Germany","Austria"
"2116",2116,10.9353236711785,50.9091582173295,4,1,97,97.1,597383,2013,"Germany","Austria"
"2117",2117,11.0779796725798,50.7118566621419,5,1,97,97.1,597383,2013,"Germany","Austria"
"2118",2118,11.2194393083157,50.5143824911795,6,1,97,97.1,597383,2013,"Germany","Austria"
"2119",2119,11.3597198667368,50.3167383463738,7,1,97,97.1,597383,2013,"Germany","Austria"
"2120",2120,11.4988383387001,50.1189268200142,8,1,97,97.1,597383,2013,"Germany","Austria"
"2121",2121,11.6368114234565,49.9209504558658,9,1,97,97.1,597383,2013,"Germany","Austria"
"2122",2122,11.7736555344186,49.7228117502597,10,1,97,97.1,597383,2013,"Germany","Austria"
"2123",2123,11.9093868048112,49.5245131531548,11,1,97,97.1,597383,2013,"Germany","Austria"
"2124",2124,12.0440210932048,49.3260570691734,12,1,97,97.1,597383,2013,"Germany","Austria"
